year,age_name,High_BMI,High_alcohol_use,High_fasting_plasma_glucose,Low_physical_activity,Tobacco_use,n_features_missing,n_features_equal_zero
1990,25-29 years,0,0.008707177,0.037119062,0.011168373,0.136495965,0,1
1990,30-34 years,0,0.011251252,0.045145279,0.01110376,0.137370708,0,1
1990,35-39 years,0,0.014355623,0.054268752,0.01096633,0.137975961,0,1
1990,40-44 years,0,0.017381931,0.063398239,0.011178685,0.140296999,0,1
1990,45-49 years,0,0.016798402,0.071014651,0.01205881,0.142031351,0,1
1991,25-29 years,0,0.008668082,0.037078072,0.01104014,0.137896001,0,1
1991,30-34 years,0,0.011389877,0.045277697,0.011019688,0.138874973,0,1
1991,35-39 years,0,0.014408969,0.054455602,0.010911174,0.13945631,0,1
1991,40-44 years,0,0.017398213,0.063598557,0.01115987,0.141832158,0,1
1991,45-49 years,0,0.016723696,0.071398871,0.011973671,0.143574596,0,1
1992,25-29 years,0,0.00861133,0.036955778,0.010904849,0.138975191,0,1
1992,30-34 years,0,0.011478762,0.045254198,0.010952529,0.140055002,0,1
1992,35-39 years,0,0.014416335,0.054523553,0.010833588,0.140625131,0,1
1992,40-44 years,0,0.017347591,0.063764437,0.011107154,0.143038549,0,1
1992,45-49 years,0,0.016582618,0.071489161,0.011884018,0.14475142,0,1
1993,25-29 years,0,0.008528273,0.036750774,0.010803997,0.139583593,0,1
1993,30-34 years,0,0.011488224,0.045135186,0.010919114,0.140771596,0,1
1993,35-39 years,0,0.014395055,0.054511691,0.010799687,0.141304539,0,1
1993,40-44 years,0,0.017256645,0.063808651,0.011058391,0.143741507,0,1
1993,45-49 years,0,0.016385677,0.071648727,0.011831627,0.14543194,0,1
1994,25-29 years,0,0.008433117,0.036493657,0.010710071,0.139634739,0,1
1994,30-34 years,0,0.011460043,0.044893553,0.010853953,0.140912576,0,1
1994,35-39 years,0,0.014344689,0.054366981,0.010774211,0.141401213,0,1
1994,40-44 years,0,0.017120798,0.063634956,0.011005397,0.143844972,0,1
1994,45-49 years,0,0.016143582,0.071549379,0.011806218,0.14552017,0,1
1995,25-29 years,0,0.008338651,0.03511786,0.010616029,0.139246527,0,1
1995,30-34 years,0,0.011409601,0.04345072,0.010807546,0.140529268,0,1
1995,35-39 years,0,0.014282506,0.052922965,0.01073557,0.141033552,0,1
1995,40-44 years,0,0.016959161,0.062203734,0.010952409,0.143403451,0,1
1995,45-49 years,0,0.015864352,0.070191568,0.01175463,0.14521258,0,1
1996,25-29 years,0,0.00814535,0.033765251,0.010543143,0.138529961,0,1
1996,30-34 years,0,0.011241971,0.042026674,0.010752824,0.139795939,0,1
1996,35-39 years,0,0.014004855,0.051494799,0.010697308,0.140282238,0,1
1996,40-44 years,0,0.016593884,0.060781141,0.010888057,0.142611427,0,1
1996,45-49 years,0,0.015356308,0.068883098,0.011697323,0.144377244,0,1
1997,25-29 years,0,0.007823017,0.032424877,0.010502079,0.137409493,0,1
1997,30-34 years,0,0.010914929,0.04053187,0.010731125,0.138605362,0,1
1997,35-39 years,0,0.013415552,0.050045083,0.0106899,0.139029708,0,1
1997,40-44 years,0,0.015965944,0.059319822,0.010824749,0.141373438,0,1
1997,45-49 years,0,0.014526656,0.067401426,0.01164855,0.142946849,0,1
1998,25-29 years,0,0.007489414,0.03112575,0.010452949,0.135940648,0,1
1998,30-34 years,0,0.010579764,0.039162561,0.010689987,0.137072694,0,1
1998,35-39 years,0,0.012725455,0.048587934,0.01065883,0.137450566,0,1
1998,40-44 years,0,0.015296503,0.057884847,0.010758996,0.139792257,0,1
1998,45-49 years,0,0.013631107,0.065961344,0.011566253,0.141143529,0,1
1999,25-29 years,0,0.007216449,0.029875106,0.010450669,0.134203162,0,1
1999,30-34 years,0,0.010312818,0.037804607,0.010676946,0.135233154,0,1
1999,35-39 years,0,0.012139768,0.047122726,0.010629796,0.135588355,0,1
1999,40-44 years,0,0.014752011,0.056396136,0.010725724,0.13796909,0,1
1999,45-49 years,0,0.012867846,0.064466273,0.011516806,0.139043995,0,1
2000,25-29 years,0,0.007120979,0.028636487,0.010452954,0.132203181,0,1
2000,30-34 years,0,0.010220577,0.036445437,0.010645425,0.133140785,0,1
2000,35-39 years,0,0.011859764,0.045665799,0.010606058,0.133418932,0,1
2000,40-44 years,0,0.014514268,0.054873807,0.01069308,0.135924965,0,1
2000,45-49 years,0,0.012477545,0.062938271,0.011487986,0.13665602,0,1
2001,25-29 years,0,0.00718601,0.027491465,0.01047865,0.130262755,0,1
2001,30-34 years,0,0.010302201,0.035144745,0.01059331,0.131110547,0,1
2001,35-39 years,0,0.011799652,0.044258355,0.01060821,0.131335823,0,1
2001,40-44 years,0,0.014484977,0.0533624,0.010681516,0.133936291,0,1
2001,45-49 years,0,0.012349552,0.061428181,0.011481386,0.134420554,0,1
2002,25-29 years,0,0.007347575,0.02646155,0.010485606,0.128550076,0,1
2002,30-34 years,0,0.01050788,0.033996762,0.010568711,0.129318668,0,1
2002,35-39 years,0,0.011808148,0.042957978,0.010579728,0.12949251,0,1
2002,40-44 years,0,0.014472747,0.051897174,0.010698105,0.132140542,0,1
2002,45-49 years,0,0.012276585,0.060057902,0.011469441,0.132432854,0,1
2003,25-29 years,0,0.007600624,0.025937784,0.010569454,0.127262637,0,1
2003,30-34 years,0,0.010763335,0.033290354,0.010564365,0.128204143,0,1
2003,35-39 years,0,0.011868169,0.042196965,0.010558532,0.128188456,0,1
2003,40-44 years,0,0.014481572,0.050942274,0.010767766,0.130839419,0,1
2003,45-49 years,0,0.012247181,0.059199406,0.011494958,0.131020325,0,1
2004,25-29 years,0,0.007851224,0.025369404,0.01066706,0.126606218,0,1
2004,30-34 years,0,0.011039299,0.032611599,0.010534125,0.127528804,0,1
2004,35-39 years,0,0.011933488,0.041373934,0.010533486,0.127380585,0,1
2004,40-44 years,0,0.014500998,0.049948531,0.010809577,0.130103627,0,1
2004,45-49 years,0,0.012261668,0.058201699,0.011522388,0.130053889,0,1
2005,25-29 years,0,0.00808006,0.024816516,0.010835186,0.12650232,0,1
2005,30-34 years,0,0.011339335,0.031975636,0.010611777,0.127270912,0,1
2005,35-39 years,0,0.012007637,0.040608484,0.01056616,0.127093168,0,1
2005,40-44 years,0,0.014538908,0.048970528,0.010871348,0.129937045,0,1
2005,45-49 years,0,0.012299665,0.057326647,0.011599891,0.12969795,0,1
2006,25-29 years,0,0.00842841,0.024371741,0.010961864,0.126737827,0,1
2006,30-34 years,0,0.011696091,0.031346203,0.010688286,0.127539266,0,1
2006,35-39 years,0,0.012229997,0.039897919,0.010529506,0.127271887,0,1
2006,40-44 years,0,0.014679585,0.048041616,0.010932264,0.130258902,0,1
2006,45-49 years,0,0.012429922,0.056395629,0.011650003,0.129859524,0,1
2007,25-29 years,0,0.008854658,0.023898084,0.011150491,0.127281677,0,1
2007,30-34 years,0,0.01211487,0.030823707,0.010863305,0.128052112,0,1
2007,35-39 years,0,0.012513911,0.03919296,0.010552701,0.127752721,0,1
2007,40-44 years,0,0.014956724,0.047195183,0.011008302,0.130933411,0,1
2007,45-49 years,0,0.012662802,0.055547753,0.011692009,0.130303805,0,1
2008,25-29 years,0,0.009286544,0.023377115,0.011387901,0.127861406,0,1
2008,30-34 years,0,0.012510177,0.030228211,0.011068747,0.128669371,0,1
2008,35-39 years,0,0.012836427,0.038546712,0.010604176,0.128358303,0,1
2008,40-44 years,0,0.015312686,0.046463655,0.011112659,0.131749581,0,1
2008,45-49 years,0,0.012940621,0.054723556,0.011751509,0.130905652,0,1
2009,25-29 years,0,0.009746467,0.022981627,0.011597986,0.128628129,0,1
2009,30-34 years,0,0.012942906,0.029823136,0.011217745,0.129611295,0,1
2009,35-39 years,0,0.013130659,0.037896024,0.010637308,0.129199683,0,1
2009,40-44 years,0,0.015653469,0.045709299,0.01117469,0.132833794,0,1
2009,45-49 years,0,0.013202638,0.053939545,0.011753167,0.131731405,0,1
