location_name,age_name,year,Baseline_Scaling_Factor,Main_GBD_Rate,Main_GBD_Lwr_95,Main_GBD_Upr_95,Baseline_Scaled_Rate,Baseline_Scaled_Lwr_95,Baseline_Scaled_Upr_95,Absolute_Change,Relative_Change_Percent,Main_GBD_95UI,GLOBOCAN_Baseline_Scaled_95UI
China,25-29 years,2023,1.149042004582119,5.9878306416300004,5.79976918703963,6.1784908358482795,6.8802689235567716,6.6641784127896235,7.099345495315359,0.8924382819267711,14.904200458211902,5.99 (5.8 to 6.18),6.88 (6.66 to 7.1)
China,25-29 years,2030,1.149042004582119,6.759284472904143,4.3582881690701365,9.93092282175036,7.766701780286568,5.007856174334883,11.411047466454347,1.0074173073824255,14.904200458211907,6.76 (4.36 to 9.93),7.77 (5.01 to 11.41)
China,25-29 years,2040,1.149042004582119,9.785430503990444,1.8586971500372862,30.394817412827145,11.243870682004195,2.135721099189915,34.924921928942396,1.4584401780137508,14.904200458211902,9.79 (1.86 to 30.39),11.24 (2.14 to 34.92)
China,25-29 years,2050,1.149042004582119,22.94421973374395,0.5669720214591455,129.9681997305813,26.36387223643376,0.6514746680793927,149.33892075035635,3.419652502689811,14.9042004582119,22.94 (0.57 to 129.97),26.36 (0.65 to 149.34)
China,30-34 years,2023,1.453404805421955,13.396231017379998,13.201191414413714,13.595001674277547,19.470146535202733,19.186675039003948,19.759040763114513,6.073915517822735,45.34048054219549,13.4 (13.2 to 13.6),19.47 (19.19 to 19.76)
China,30-34 years,2030,1.453404805421955,15.246905268884962,10.511122103908237,21.154701639704193,22.15992538561073,15.276915376197161,30.746345020413784,6.913020116725768,45.34048054219551,15.25 (10.51 to 21.15),22.16 (15.28 to 30.75)
China,30-34 years,2040,1.453404805421955,21.352263040579686,4.708296633067359,61.60082171354689,31.033481709812122,6.843060951852111,89.53093029641016,9.681218669232436,45.34048054219551,21.35 (4.71 to 61.6),31.03 (6.84 to 89.53)
China,30-34 years,2050,1.453404805421955,47.02090686795364,1.486746945358875,254.42015375645988,68.34041199718203,2.160845154831002,369.7754740658315,21.31950512922839,45.34048054219551,47.02 (1.49 to 254.42),68.34 (2.16 to 369.78)
China,35-39 years,2023,1.202223722632599,27.24285836547,26.95633947120128,27.53172943837671,32.75201059928798,32.40755078761566,33.09929825591876,5.509152233817979,20.222372263259878,27.24 (26.96 to 27.53),32.75 (32.41 to 33.1)
China,35-39 years,2030,1.202223722632599,29.98226785513962,20.800832910285575,41.364964503489944,36.04539367377366,25.0072547752622,49.72994161195099,6.063125818634038,20.22237226325988,29.98 (20.8 to 41.36),36.05 (25.01 to 49.73)
China,35-39 years,2040,1.202223722632599,41.413632710366656,9.84122090279052,114.86486170855613,49.788451684796165,11.831349229002564,138.093261642939,8.374818974429509,20.22237226325988,41.41 (9.84 to 114.86),49.79 (11.83 to 138.09)
China,35-39 years,2050,1.202223722632599,86.95216182739487,3.2425348485733774,454.35024194273353,104.53595168308283,3.8982523164178162,546.2306392474151,17.583789855687954,20.22237226325989,86.95 (3.24 to 454.35),104.54 (3.9 to 546.23)
China,40-44 years,2023,1.277070079241356,52.14264746346,51.662319037506094,52.62295620800274,66.58981492801496,65.97640186702013,67.20320285446847,14.447167464554958,27.707007924135613,52.14 (51.66 to 52.62),66.59 (65.98 to 67.2)
