Scenario,age_name,Total_YLLs,GDP_per_capita,LFPR,Monetary_Scale,Age_Multiplier,Combined_Multiplier,Main_Loss_Billion,Scenario_Loss_Billion,Absolute_Change_Billion,Relative_Change_Percent
Age-graded profile plus 20% higher value,25-29 years,14809.615585868269,12484.1578844175,0.8208799999999999,1.2,0.7344167832038913,0.8813001398446695,0.15176887423851762,0.13375393009047362,-0.018014944148044,-11.869986015533062
Age-graded profile plus 20% higher value,30-34 years,56584.9651345858,12484.1578844175,0.8318899999999999,1.2,0.8813001398446695,1.0575601678136033,0.5876601056152758,0.621485919911851,0.03382581429657516,5.756016781360329
Age-graded profile plus 20% higher value,35-39 years,124167.39159033204,12484.1578844175,0.8439700000000001,1.2,1.0281834964854477,1.2338201957825372,1.308259266919618,1.6141567048450818,0.30589743792546376,23.382019578253722
Age-graded profile plus 20% higher value,40-44 years,153000.56790529395,12484.1578844175,0.84821,1.2,1.0771446153657072,1.2925735384388486,1.6201517102043639,2.094165228866607,0.47401351866224295,29.257353843884882
Age-graded profile plus 20% higher value,45-49 years,249433.036280839,12484.1578844175,0.80053,1.2,0.9792223776051883,1.1750668531262258,2.4928195247611615,2.929229594372712,0.43641006961155027,17.506685312622583
Age-graded profile plus 20% lower value,25-29 years,14809.615585868269,12484.1578844175,0.8208799999999999,0.8,0.7344167832038913,0.587533426563113,0.15176887423851762,0.08916928672698243,-0.06259958751153519,-41.246657343688696
Age-graded profile plus 20% lower value,30-34 years,56584.9651345858,12484.1578844175,0.8318899999999999,0.8,0.8813001398446695,0.7050401118757357,0.5876601056152758,0.41432394660790073,-0.1733361590073751,-29.495988812426432
Age-graded profile plus 20% lower value,35-39 years,124167.39159033204,12484.1578844175,0.8439700000000001,0.8,1.0281834964854477,0.8225467971883582,1.308259266919618,1.0761044698967213,-0.23215479702289676,-17.74532028116418
Age-graded profile plus 20% lower value,40-44 years,153000.56790529395,12484.1578844175,0.84821,0.8,1.0771446153657072,0.8617156922925657,1.6201517102043639,1.3961101525777377,-0.22404155762662614,-13.828430770743427
Age-graded profile plus 20% lower value,45-49 years,249433.036280839,12484.1578844175,0.80053,0.8,0.9792223776051883,0.7833779020841507,2.4928195247611615,1.9528197295818084,-0.5399997951793531,-21.662209791584928
"Age-graded profile, total-normalized",25-29 years,14809.615585868269,12484.1578844175,0.8208799999999999,1,0.7344167832038913,0.7344167832038913,0.15176887423851762,0.11146160840872803,-0.04030726582978959,-26.558321679610874
"Age-graded profile, total-normalized",30-34 years,56584.9651345858,12484.1578844175,0.8318899999999999,1,0.8813001398446695,0.8813001398446695,0.5876601056152758,0.5179049332598759,-0.06975517235539996,-11.86998601553304
"Age-graded profile, total-normalized",35-39 years,124167.39159033204,12484.1578844175,0.8439700000000001,1,1.0281834964854477,1.0281834964854477,1.308259266919618,1.3451305873709014,0.036871320451283385,2.818349648544771
"Age-graded profile, total-normalized",40-44 years,153000.56790529395,12484.1578844175,0.84821,1,1.0771446153657072,1.0771446153657072,1.6201517102043639,1.7451376907221723,0.1249859805178084,7.714461536570716
"Age-graded profile, total-normalized",45-49 years,249433.036280839,12484.1578844175,0.80053,1,0.9792223776051883,0.9792223776051883,2.4928195247611615,2.44102466197726,-0.05179486278390133,-2.0777622394811734
Main HCA estimate,25-29 years,14809.615585868269,12484.1578844175,0.8208799999999999,1,1,1,0.15176887423851762,0.15176887423851762,0,0
Main HCA estimate,30-34 years,56584.9651345858,12484.1578844175,0.8318899999999999,1,1,1,0.5876601056152758,0.5876601056152758,0,0
Main HCA estimate,35-39 years,124167.39159033204,12484.1578844175,0.8439700000000001,1,1,1,1.308259266919618,1.308259266919618,0,0
Main HCA estimate,40-44 years,153000.56790529395,12484.1578844175,0.84821,1,1,1,1.6201517102043639,1.6201517102043639,0,0
Main HCA estimate,45-49 years,249433.036280839,12484.1578844175,0.80053,1,1,1,2.4928195247611615,2.4928195247611615,0,0
Uniform 20% higher productivity value,25-29 years,14809.615585868269,12484.1578844175,0.8208799999999999,1.2,1,1.2,0.15176887423851762,0.18212264908622114,0.03035377484770352,19.999999999999996
