year,Scenario,Total_Loss_Billion,Main_Loss_Billion,Absolute_Change_Billion,Relative_Change_Percent
1990,Age-graded profile plus 20% higher value,0.7740265929784588,0.6564662437668594,0.11756034921159941,17.908057014025292
1990,Age-graded profile plus 20% lower value,0.5160177286523059,0.6564662437668594,-0.14044851511455347,-21.394628657316474
1990,"Age-graded profile, total-normalized",0.6450221608153823,0.6564662437668594,-0.01144408295147703,-1.7432858216455904
1990,Main HCA estimate,0.6564662437668594,0.6564662437668594,0,0
1990,Uniform 20% higher productivity value,0.7877594925202313,0.6564662437668594,0.1312932487533719,19.999999999999996
1990,Uniform 20% lower productivity value,0.5251729950134876,0.6564662437668594,-0.13129324875337178,-19.999999999999986
2000,Age-graded profile plus 20% higher value,2.2971850193099588,1.9465051595258729,0.3506798597840859,18.015871063475842
2000,Age-graded profile plus 20% lower value,1.5314566795399727,1.9465051595258729,-0.4150484799859002,-21.32275262434944
2000,"Age-graded profile, total-normalized",1.9143208494249657,1.9465051595258729,-0.032184310100907165,-1.653440780436799
2000,Main HCA estimate,1.9465051595258729,1.9465051595258729,0,0
2000,Uniform 20% higher productivity value,2.3358061914310477,1.9465051595258729,0.38930103190517484,20.000000000000018
2000,Uniform 20% lower productivity value,1.5572041276206985,1.9465051595258729,-0.3893010319051744,-19.999999999999996
2010,Age-graded profile plus 20% higher value,4.771691833869777,3.9657226671629804,0.805969166706797,20.323387043183615
2010,Age-graded profile plus 20% lower value,3.1811278892465182,3.9657226671629804,-0.7845947779164621,-19.784408637877593
2010,"Age-graded profile, total-normalized",3.976409861558148,3.9657226671629804,0.01068719439516741,0.2694892026530171
2010,Main HCA estimate,3.9657226671629804,3.9657226671629804,0,0
2010,Uniform 20% higher productivity value,4.758867200595576,3.9657226671629804,0.7931445334325957,19.999999999999996
2010,Uniform 20% lower productivity value,3.172578133730384,3.9657226671629804,-0.7931445334325962,-20.000000000000007
2020,Age-graded profile plus 20% higher value,6.138805561930781,5.138096850709429,1.0007087112213515,19.476252400403492
2020,Age-graded profile plus 20% lower value,4.092537041287187,5.138096850709429,-1.045559809422242,-20.349165066397667
2020,"Age-graded profile, total-normalized",5.115671301608984,5.138096850709429,-0.022425549100445252,-0.43645633299709274
2020,Main HCA estimate,5.138096850709429,5.138096850709429,0,0
2020,Uniform 20% higher productivity value,6.165716220851314,5.138096850709429,1.0276193701418848,19.99999999999997
2020,Uniform 20% lower productivity value,4.110477480567543,5.138096850709429,-1.0276193701418865,-20.000000000000018
2023,Age-graded profile plus 20% higher value,7.392791378086725,6.160659481738937,1.2321318963477887,20.000000000000018
2023,Age-graded profile plus 20% lower value,4.9285275853911505,6.160659481738937,-1.232131896347786,-19.999999999999986
2023,"Age-graded profile, total-normalized",6.1606594817389375,6.160659481738937,8.881784197001252e-16,2.220446049250313e-14
2023,Main HCA estimate,6.160659481738937,6.160659481738937,0,0
2023,Uniform 20% higher productivity value,7.3927913780867245,6.160659481738937,1.2321318963477879,20.000000000000018
2023,Uniform 20% lower productivity value,4.92852758539115,6.160659481738937,-1.232131896347787,-19.999999999999996
