year,age_name,Risk_Factor,PAF,Lower_95_UI,Upper_95_UI,Source_Status
1990,25-29 years,High BMI,0,0,0,Observed zero
1991,25-29 years,High BMI,0,0,0,Observed zero
1992,25-29 years,High BMI,0,0,0,Observed zero
1993,25-29 years,High BMI,0,0,0,Observed zero
1994,25-29 years,High BMI,0,0,0,Observed zero
1995,25-29 years,High BMI,0,0,0,Observed zero
1996,25-29 years,High BMI,0,0,0,Observed zero
1997,25-29 years,High BMI,0,0,0,Observed zero
1998,25-29 years,High BMI,0,0,0,Observed zero
1999,25-29 years,High BMI,0,0,0,Observed zero
2000,25-29 years,High BMI,0,0,0,Observed zero
2001,25-29 years,High BMI,0,0,0,Observed zero
2002,25-29 years,High BMI,0,0,0,Observed zero
2003,25-29 years,High BMI,0,0,0,Observed zero
2004,25-29 years,High BMI,0,0,0,Observed zero
2005,25-29 years,High BMI,0,0,0,Observed zero
2006,25-29 years,High BMI,0,0,0,Observed zero
2007,25-29 years,High BMI,0,0,0,Observed zero
2008,25-29 years,High BMI,0,0,0,Observed zero
2009,25-29 years,High BMI,0,0,0,Observed zero
2010,25-29 years,High BMI,0,0,0,Observed zero
2011,25-29 years,High BMI,0,0,0,Observed zero
2012,25-29 years,High BMI,0,0,0,Observed zero
2013,25-29 years,High BMI,0,0,0,Observed zero
2014,25-29 years,High BMI,0,0,0,Observed zero
2015,25-29 years,High BMI,0,0,0,Observed zero
2016,25-29 years,High BMI,0,0,0,Observed zero
2017,25-29 years,High BMI,0,0,0,Observed zero
2018,25-29 years,High BMI,0,0,0,Observed zero
2019,25-29 years,High BMI,0,0,0,Observed zero
2020,25-29 years,High BMI,0,0,0,Observed zero
2021,25-29 years,High BMI,0,0,0,Observed zero
2022,25-29 years,High BMI,0,0,0,Observed zero
2023,25-29 years,High BMI,0,0,0,Observed zero
1990,30-34 years,High BMI,0,0,0,Observed zero
1991,30-34 years,High BMI,0,0,0,Observed zero
1992,30-34 years,High BMI,0,0,0,Observed zero
1993,30-34 years,High BMI,0,0,0,Observed zero
1994,30-34 years,High BMI,0,0,0,Observed zero
1995,30-34 years,High BMI,0,0,0,Observed zero
1996,30-34 years,High BMI,0,0,0,Observed zero
1997,30-34 years,High BMI,0,0,0,Observed zero
1998,30-34 years,High BMI,0,0,0,Observed zero
1999,30-34 years,High BMI,0,0,0,Observed zero
2000,30-34 years,High BMI,0,0,0,Observed zero
2001,30-34 years,High BMI,0,0,0,Observed zero
2002,30-34 years,High BMI,0,0,0,Observed zero
2003,30-34 years,High BMI,0,0,0,Observed zero
2004,30-34 years,High BMI,0,0,0,Observed zero
2005,30-34 years,High BMI,0,0,0,Observed zero
2006,30-34 years,High BMI,0,0,0,Observed zero
2007,30-34 years,High BMI,0,0,0,Observed zero
2008,30-34 years,High BMI,0,0,0,Observed zero
2009,30-34 years,High BMI,0,0,0,Observed zero
2010,30-34 years,High BMI,0,0,0,Observed zero
2011,30-34 years,High BMI,0,0,0,Observed zero
2012,30-34 years,High BMI,0,0,0,Observed zero
2013,30-34 years,High BMI,0,0,0,Observed zero
2014,30-34 years,High BMI,0,0,0,Observed zero
2015,30-34 years,High BMI,0,0,0,Observed zero
2016,30-34 years,High BMI,0,0,0,Observed zero
2017,30-34 years,High BMI,0,0,0,Observed zero
2018,30-34 years,High BMI,0,0,0,Observed zero
2019,30-34 years,High BMI,0,0,0,Observed zero
2020,30-34 years,High BMI,0,0,0,Observed zero
2021,30-34 years,High BMI,0,0,0,Observed zero
2022,30-34 years,High BMI,0,0,0,Observed zero
2023,30-34 years,High BMI,0,0,0,Observed zero
