year,age_name,Risk_Factor,PAF,Lower_95_UI,Upper_95_UI,Source_Status
1990,25-29 years,High BMI,0,0,0,Observed zero
2000,25-29 years,High BMI,0,0,0,Observed zero
2010,25-29 years,High BMI,0,0,0,Observed zero
2020,25-29 years,High BMI,0,0,0,Observed zero
2023,25-29 years,High BMI,0,0,0,Observed zero
1990,30-34 years,High BMI,0,0,0,Observed zero
2000,30-34 years,High BMI,0,0,0,Observed zero
2010,30-34 years,High BMI,0,0,0,Observed zero
2020,30-34 years,High BMI,0,0,0,Observed zero
2023,30-34 years,High BMI,0,0,0,Observed zero
1990,35-39 years,High BMI,0,0,0,Observed zero
2000,35-39 years,High BMI,0,0,0,Observed zero
2010,35-39 years,High BMI,0,0,0,Observed zero
2020,35-39 years,High BMI,0,0,0,Observed zero
2023,35-39 years,High BMI,0,0,0,Observed zero
1990,40-44 years,High BMI,0,0,0,Observed zero
2000,40-44 years,High BMI,0,0,0,Observed zero
2010,40-44 years,High BMI,0,0,0,Observed zero
2020,40-44 years,High BMI,0,0,0,Observed zero
2023,40-44 years,High BMI,0,0,0,Observed zero
1990,45-49 years,High BMI,0,0,0,Observed zero
2000,45-49 years,High BMI,0,0,0,Observed zero
2010,45-49 years,High BMI,0,0,0,Observed zero
2020,45-49 years,High BMI,0,0,0,Observed zero
2023,45-49 years,High BMI,0,0,0,Observed zero
1990,25-29 years,High alcohol use,0.008707177,0.003569449,0.013382008,Observed positive
2000,25-29 years,High alcohol use,0.007120979,0.003849932,0.011564344,Observed positive
2010,25-29 years,High alcohol use,0.010184134,0.005532394,0.017457856,Observed positive
2020,25-29 years,High alcohol use,0.012101101,0.004749167,0.021217778,Observed positive
2023,25-29 years,High alcohol use,0.01278197,0.005853235,0.023143531,Observed positive
1990,30-34 years,High alcohol use,0.011251252,0.005643431,0.018000931,Observed positive
2000,30-34 years,High alcohol use,0.010220577,0.005717036,0.015853304,Observed positive
2010,30-34 years,High alcohol use,0.01331315,0.007764648,0.020093377,Observed positive
2020,30-34 years,High alcohol use,0.014132922,0.006350189,0.02210046,Observed positive
2023,30-34 years,High alcohol use,0.014492506,0.007030019,0.023191754,Observed positive
1990,35-39 years,High alcohol use,0.014355623,0.00764465,0.023089521,Observed positive
2000,35-39 years,High alcohol use,0.011859764,0.00661729,0.018183176,Observed positive
2010,35-39 years,High alcohol use,0.013361842,0.007496272,0.021128348,Observed positive
2020,35-39 years,High alcohol use,0.014180415,0.006203075,0.022729825,Observed positive
2023,35-39 years,High alcohol use,0.014568366,0.006758959,0.023398362,Observed positive
1990,40-44 years,High alcohol use,0.017381931,0.008779328,0.027870282,Observed positive
2000,40-44 years,High alcohol use,0.014514268,0.007439625,0.022647457,Observed positive
2010,40-44 years,High alcohol use,0.01586942,0.008145057,0.025088883,Observed positive
2020,40-44 years,High alcohol use,0.016031123,0.006406957,0.026220801,Observed positive
2023,40-44 years,High alcohol use,0.016239884,0.006693777,0.027079366,Observed positive
1990,45-49 years,High alcohol use,0.016798402,0.006702754,0.027296681,Observed positive
2000,45-49 years,High alcohol use,0.012477545,0.004602624,0.021054832,Observed positive
2010,45-49 years,High alcohol use,0.013408332,0.005373625,0.023999345,Observed positive
2020,45-49 years,High alcohol use,0.013955213,0.004965371,0.024729087,Observed positive
2023,45-49 years,High alcohol use,0.014464701,0.004951565,0.027010604,Observed positive
1990,25-29 years,High fasting plasma glucose,0.037119062,0.016426178,0.075665877,Observed positive
2000,25-29 years,High fasting plasma glucose,0.028636487,0.013117975,0.056804801,Observed positive
2010,25-29 years,High fasting plasma glucose,0.022848882,0.011284625,0.042152961,Observed positive
2020,25-29 years,High fasting plasma glucose,0.023673157,0.01079947,0.045670911,Observed positive
2023,25-29 years,High fasting plasma glucose,0.025011343,0.011466119,0.048521737,Observed positive
1990,30-34 years,High fasting plasma glucose,0.045145279,0.022443579,0.087039213,Observed positive
2000,30-34 years,High fasting plasma glucose,0.036445437,0.018308682,0.067603535,Observed positive
2010,30-34 years,High fasting plasma glucose,0.029600978,0.01583274,0.052185556,Observed positive
2020,30-34 years,High fasting plasma glucose,0.030584534,0.01601236,0.055883183,Observed positive
2023,30-34 years,High fasting plasma glucose,0.032046331,0.016380299,0.058872327,Observed positive
1990,35-39 years,High fasting plasma glucose,0.054268752,0.028541616,0.098619314,Observed positive
2000,35-39 years,High fasting plasma glucose,0.045665799,0.024821891,0.079565706,Observed positive
2010,35-39 years,High fasting plasma glucose,0.037545924,0.021943611,0.063068901,Observed positive
2020,35-39 years,High fasting plasma glucose,0.038599955,0.021372577,0.066769655,Observed positive
2023,35-39 years,High fasting plasma glucose,0.040487655,0.022208063,0.070389358,Observed positive
1990,40-44 years,High fasting plasma glucose,0.063398239,0.032605835,0.106792119,Observed positive
2000,40-44 years,High fasting plasma glucose,0.054873807,0.03228164,0.088998182,Observed positive
