Scenario,Feature,Risk_Factor,N_successful,Mean_normalized_importance,SD_normalized_importance,Median_normalized_importance,Q1_normalized_importance,Q3_normalized_importance,Median_rank,Q1_rank,Q3_rank,Top1_frequency
Absolute DALYs (primary scale),High_fasting_plasma_glucose,High fasting plasma glucose,200,0.7788196333666634,0.04002495394791265,0.7806080707271817,0.7546062843956001,0.8079369361823263,1,1,1,1
Absolute DALYs (primary scale),High_alcohol_use,High alcohol use,200,0.10262524190029051,0.03013959619238114,0.10144658756151793,0.08271973183968735,0.11879739432288562,2,2,2.25,0
Absolute DALYs (primary scale),Low_physical_activity,Low physical activity,200,0.0724682301737772,0.0183450229079828,0.07169080929324714,0.05892868191081253,0.08586290067577847,3,3,3,0
Absolute DALYs (primary scale),Tobacco_use,Tobacco use,200,0.04608689455926885,0.022440397942314717,0.041104730029525374,0.0334942610964035,0.0514927979972186,4,4,4,0
Age-specific DALY rate,High_fasting_plasma_glucose,High fasting plasma glucose,200,0.8532397512021476,0.05797633083715317,0.8512397772356904,0.8356227971061886,0.8756994648533597,1,1,1,0.995
Age-specific DALY rate,Low_physical_activity,Low physical activity,200,0.06177585528883044,0.02320014896952828,0.06302583969148245,0.04704139083466545,0.0745575023290001,2,2,3,0
Age-specific DALY rate,High_alcohol_use,High alcohol use,200,0.06176280804478833,0.04664070840184356,0.05307691033630794,0.04412509634752712,0.06437661057977742,3,2,3,0.005
Age-specific DALY rate,Tobacco_use,Tobacco use,200,0.023221585464233703,0.0137434398518806,0.023351515565898047,0.01242280896821457,0.03359403856889562,4,4,4,0
Within-age centered rate and PAFs,High_fasting_plasma_glucose,High fasting plasma glucose,200,0.6547888718174069,0.13229565336952023,0.6831987056284621,0.6339984259273421,0.7358497469937617,1,1,1,0.915
Within-age centered rate and PAFs,High_alcohol_use,High alcohol use,200,0.15431982190572668,0.07687449754105673,0.14035958597659795,0.12332338656214428,0.15236956813368738,2,2,3,0.03
Within-age centered rate and PAFs,Low_physical_activity,Low physical activity,200,0.15317636014108044,0.1097236195179309,0.1332665939719911,0.09245756108951526,0.18467242044764623,3,2,3,0.055
Within-age centered rate and PAFs,Tobacco_use,Tobacco use,200,0.03771494613578599,0.014675587986124955,0.03592575786369198,0.028321802028131813,0.04535605650071396,4,4,4,0
Within-age annual first differences,High_fasting_plasma_glucose,High fasting plasma glucose,200,0.4224304843633619,0.13199373500137915,0.44348182331606434,0.35483421036450824,0.5205931067836073,1,1,1,0.78
Within-age annual first differences,High_alcohol_use,High alcohol use,200,0.246441305906924,0.1030194281435093,0.2302951075274803,0.16293803028337056,0.3026630871071606,2,2,3,0.11
Within-age annual first differences,Tobacco_use,Tobacco use,200,0.19090030978654104,0.11984504634165158,0.15073249183603643,0.13128203418748136,0.19674072677797444,3,3,4,0.09
Within-age annual first differences,Low_physical_activity,Low physical activity,200,0.14022789994317303,0.07432676541398937,0.10606388495746386,0.08241387065645703,0.20585535442030728,4,2,4,0.02
Age- and smooth-year-adjusted residuals,High_alcohol_use,High alcohol use,200,0.37346801831270515,0.15581102350200887,0.42336044220876506,0.20525927424301643,0.5036085425374338,1,1,2,0.61
Age- and smooth-year-adjusted residuals,High_fasting_plasma_glucose,High fasting plasma glucose,200,0.33012575547688316,0.1629391853500601,0.264342279569152,0.1977209508716748,0.5084041786859778,2,1,2,0.36
Age- and smooth-year-adjusted residuals,Tobacco_use,Tobacco use,200,0.1495669868342062,0.031115638674475126,0.15066286401789666,0.12970512072594456,0.1729001292684606,3,3,4,0
Age- and smooth-year-adjusted residuals,Low_physical_activity,Low physical activity,200,0.1468392393762055,0.06337464548596035,0.13343328171332342,0.11146575462614561,0.15426069079552787,4,3,4,0.03
