year,component,val
1990,YLDs (Disability),33626.27800440823
1990,YLLs (Premature death),816139.1882269057
1991,YLDs (Disability),35711.19005702152
1991,YLLs (Premature death),854044.5613944428
1992,YLDs (Disability),37944.164209186856
1992,YLLs (Premature death),888484.0886585705
1993,YLDs (Disability),40085.99537740424
1993,YLLs (Premature death),916207.8983685315
1994,YLDs (Disability),42563.27933299456
1994,YLLs (Premature death),946693.8168519561
1995,YLDs (Disability),44972.61144129539
1995,YLLs (Premature death),977924.0919181745
1996,YLDs (Disability),47455.12372654473
1996,YLLs (Premature death),1011887.0664503447
1997,YLDs (Disability),49617.050254838025
1997,YLLs (Premature death),1034338.0756787434
1998,YLDs (Disability),51674.32314482505
1998,YLLs (Premature death),1055950.4330653155
1999,YLDs (Disability),52798.8277090147
1999,YLLs (Premature death),1057762.9138253387
2000,YLDs (Disability),54224.59081398701
2000,YLLs (Premature death),1068017.5087607293
2001,YLDs (Disability),54830.3875738464
2001,YLLs (Premature death),1063528.721175897
2002,YLDs (Disability),54734.48695814491
2002,YLLs (Premature death),1035529.2231106182
2003,YLDs (Disability),54987.517517263885
2003,YLLs (Premature death),1004423.4521253256
2004,YLDs (Disability),54964.429447804
2004,YLLs (Premature death),965379.2009182614
2005,YLDs (Disability),55559.850039469864
2005,YLLs (Premature death),936112.7408750792
2006,YLDs (Disability),56434.156503540085
2006,YLLs (Premature death),904842.96422661
2007,YLDs (Disability),57501.11570584176
2007,YLLs (Premature death),882820.3370329435
2008,YLDs (Disability),57959.26352602304
2008,YLLs (Premature death),859113.6119349371
2009,YLDs (Disability),58659.141941371185
2009,YLLs (Premature death),844420.9511895056
2010,YLDs (Disability),60064.127590186596
2010,YLLs (Premature death),832209.6711773807
2011,YLDs (Disability),60350.237867828546
2011,YLLs (Premature death),804460.8555486873
2012,YLDs (Disability),59712.550333242965
2012,YLLs (Premature death),770544.9976520303
2013,YLDs (Disability),59050.76130983753
2013,YLLs (Premature death),735773.2517280465
2014,YLDs (Disability),58887.96146616918
2014,YLLs (Premature death),711058.2867017321
2015,YLDs (Disability),58059.72739580013
2015,YLLs (Premature death),685458.6601101718
2016,YLDs (Disability),57551.00912843514
2016,YLLs (Premature death),664215.7615788537
2017,YLDs (Disability),58079.45012665688
2017,YLLs (Premature death),652151.6528442109
2018,YLDs (Disability),58007.638656934665
2018,YLLs (Premature death),632078.0991208805
2019,YLDs (Disability),57665.43042961772
2019,YLLs (Premature death),609752.8278954208
2020,YLDs (Disability),57204.81997842962
2020,YLLs (Premature death),589819.7375290679
2021,YLDs (Disability),58321.00257700731
2021,YLLs (Premature death),592441.7912129539
2022,YLDs (Disability),60743.34496536741
2022,YLLs (Premature death),615187.723656205
2023,YLDs (Disability),60261.64566657947
2023,YLLs (Premature death),597995.5764969192
