location_name,year,Rate,measure_clean
China,1990,28.060257093143015,Incidence
China,1991,28.666685780653715,Incidence
China,1992,29.24273352248664,Incidence
China,1993,29.68171328341747,Incidence
China,1994,30.121213159729486,Incidence
China,1995,30.69140328641257,Incidence
China,1996,31.418856523766426,Incidence
China,1997,31.8237160446684,Incidence
China,1998,32.06859269583129,Incidence
China,1999,32.203050443219816,Incidence
China,2000,32.36512739349698,Incidence
China,2001,32.255406198841385,Incidence
China,2002,31.555958621025148,Incidence
China,2003,31.182916148401016,Incidence
China,2004,30.836998242745185,Incidence
China,2005,31.04552279162695,Incidence
China,2006,31.2272069553579,Incidence
China,2007,31.175608746161565,Incidence
China,2008,30.277859642679328,Incidence
China,2009,29.36531157189298,Incidence
China,2010,28.961235532646732,Incidence
China,2011,28.320205583890914,Incidence
China,2012,27.6193493728404,Incidence
China,2013,27.2342885177044,Incidence
China,2014,27.21780222186442,Incidence
China,2015,27.051182164739586,Incidence
China,2016,27.180666366552156,Incidence
China,2017,27.95109746090391,Incidence
China,2018,28.343889777288062,Incidence
China,2019,28.62336687489924,Incidence
China,2020,28.890707478863156,Incidence
China,2021,30.194738729035492,Incidence
China,2022,32.50041312929852,Incidence
China,2023,32.87222078381767,Incidence
Global,1990,36.389241723986345,Incidence
Global,1991,36.85582806947811,Incidence
Global,1992,37.20172653226507,Incidence
Global,1993,37.6745845604259,Incidence
Global,1994,38.12939488032264,Incidence
Global,1995,38.66077469732486,Incidence
Global,1996,38.919246155038394,Incidence
Global,1997,38.773424901243324,Incidence
Global,1998,38.72527580890053,Incidence
Global,1999,38.754687288962714,Incidence
Global,2000,38.81386039761186,Incidence
Global,2001,38.778444443739474,Incidence
Global,2002,38.41269744940754,Incidence
Global,2003,38.16704216738938,Incidence
Global,2004,37.90457468927142,Incidence
Global,2005,37.81647345996701,Incidence
Global,2006,37.710423825861106,Incidence
Global,2007,37.651147265219265,Incidence
Global,2008,37.65081551710467,Incidence
Global,2009,37.41826943005493,Incidence
Global,2010,37.2756879260896,Incidence
Global,2011,37.1270956498571,Incidence
Global,2012,37.07953634652032,Incidence
Global,2013,37.342144824204475,Incidence
Global,2014,37.79249132264983,Incidence
Global,2015,38.33316722932568,Incidence
Global,2016,39.02199811099509,Incidence
Global,2017,39.69967172498027,Incidence
Global,2018,40.31856703330839,Incidence
Global,2019,41.229069349672436,Incidence
Global,2020,42.15888678926017,Incidence
Global,2021,44.19120771072237,Incidence
Global,2022,46.49981059246927,Incidence
Global,2023,48.357185624315115,Incidence
High SDI,1990,53.65372658945252,Incidence
High SDI,1991,54.34804247661627,Incidence
High SDI,1992,54.86350410754123,Incidence
High SDI,1993,55.481346504676374,Incidence
High SDI,1994,56.09671602959323,Incidence
High SDI,1995,56.811277265512054,Incidence
High SDI,1996,56.898443147100124,Incidence
High SDI,1997,56.45871752961257,Incidence
High SDI,1998,56.01616357569214,Incidence
High SDI,1999,55.738254277687076,Incidence
High SDI,2000,55.68575618972949,Incidence
High SDI,2001,55.4773023792212,Incidence
High SDI,2002,54.90020304705405,Incidence
High SDI,2003,54.72053181160016,Incidence
High SDI,2004,54.30814893796671,Incidence
High SDI,2005,54.37711979797303,Incidence
High SDI,2006,54.00793887577282,Incidence
High SDI,2007,53.48368019677962,Incidence
High SDI,2008,53.149886975214436,Incidence
High SDI,2009,52.229480168979435,Incidence
High SDI,2010,51.27287229436892,Incidence
High SDI,2011,50.46280157921001,Incidence
High SDI,2012,49.76331801564919,Incidence
High SDI,2013,49.369488934408615,Incidence
High SDI,2014,49.05666966149649,Incidence
High SDI,2015,49.01545590490672,Incidence
High SDI,2016,49.433955309904775,Incidence
High SDI,2017,49.54821861919087,Incidence
High SDI,2018,49.37361068436239,Incidence
High SDI,2019,49.57665144670288,Incidence
High SDI,2020,49.7328808090571,Incidence
High SDI,2021,50.00099545339823,Incidence
High SDI,2022,51.77624311463544,Incidence
High SDI,2023,52.08012583150364,Incidence
High-middle SDI,1990,25.22643389652774,Incidence
High-middle SDI,1991,25.60191103328128,Incidence
High-middle SDI,1992,25.846354013407478,Incidence
High-middle SDI,1993,26.26365017014356,Incidence
High-middle SDI,1994,26.642201230761653,Incidence
High-middle SDI,1995,27.1086409216152,Incidence
High-middle SDI,1996,27.64688564745623,Incidence
High-middle SDI,1997,27.750361109740446,Incidence
High-middle SDI,1998,28.162095060301713,Incidence
High-middle SDI,1999,28.842935993567345,Incidence
High-middle SDI,2000,29.30264141288267,Incidence
High-middle SDI,2001,29.536609885603603,Incidence
High-middle SDI,2002,29.146186272362282,Incidence
