year,location_name,rei_name,val
1990,China,Behavioral risks,0.27331886980000003
1990,China,Dietary risks,0.1346146378
1990,China,Metabolic risks,0.0541891966
1990,Global,Behavioral risks,0.2584160552
1990,Global,Dietary risks,0.11589395820000001
1990,Global,Metabolic risks,0.004158635799999999
1991,China,Behavioral risks,0.2746429416
1991,China,Dietary risks,0.1347374352
1991,China,Metabolic risks,0.0543617598
1991,Global,Behavioral risks,0.2573358496
1991,Global,Dietary risks,0.1156604626
1991,Global,Metabolic risks,0.0044753632000000005
1992,China,Behavioral risks,0.2756416926
1992,China,Dietary risks,0.1348595222
1992,China,Metabolic risks,0.0543974254
1992,Global,Behavioral risks,0.2570385898
1992,Global,Dietary risks,0.115876695
1992,Global,Metabolic risks,0.0046999214
1993,China,Behavioral risks,0.27622031480000003
1993,China,Dietary risks,0.1349807286
1993,China,Metabolic risks,0.0543710058
1993,Global,Behavioral risks,0.2565363578
1993,Global,Dietary risks,0.1160484478
1993,Global,Metabolic risks,0.0046422758
1994,China,Behavioral risks,0.2762659678
1994,China,Dietary risks,0.1350783904
1994,China,Metabolic risks,0.0541877052
1994,Global,Behavioral risks,0.255836709
1994,Global,Dietary risks,0.1161436582
1994,Global,Metabolic risks,0.0045856972
1995,China,Behavioral risks,0.2758905004
1995,China,Dietary risks,0.1351734088
1995,China,Metabolic risks,0.052777369399999996
1995,Global,Behavioral risks,0.2551110822
1995,Global,Dietary risks,0.1162175446
1995,Global,Metabolic risks,0.0043704056
1996,China,Behavioral risks,0.27505497019999997
1996,China,Dietary risks,0.1352595802
1996,China,Metabolic risks,0.0513901926
1996,Global,Behavioral risks,0.2535831464
1996,Global,Dietary risks,0.11595629980000001
1996,Global,Metabolic risks,0.004238381
1997,China,Behavioral risks,0.2736339612
1997,China,Dietary risks,0.1353200936
1997,China,Metabolic risks,0.0499446156
1997,Global,Behavioral risks,0.2514382414
1997,Global,Dietary risks,0.1154132594
1997,Global,Metabolic risks,0.004200393
1998,China,Behavioral risks,0.2718659718
1998,China,Dietary risks,0.135372207
1998,China,Metabolic risks,0.0485444872
1998,Global,Behavioral risks,0.2491632148
1998,Global,Dietary risks,0.1148064246
1998,Global,Metabolic risks,0.0040496998
1999,China,Behavioral risks,0.2699346842
1999,China,Dietary risks,0.1354026478
1999,China,Metabolic risks,0.0471329696
1999,Global,Behavioral risks,0.2470413038
1999,Global,Dietary risks,0.114299487
1999,Global,Metabolic risks,0.003648998
2000,China,Behavioral risks,0.2679654096
2000,China,Dietary risks,0.1354241086
2000,China,Metabolic risks,0.0457119602
2000,Global,Behavioral risks,0.2450044372
2000,Global,Dietary risks,0.1139511018
2000,Global,Metabolic risks,0.0032769114
2001,China,Behavioral risks,0.2662234028
2001,China,Dietary risks,0.1354387288
2001,China,Metabolic risks,0.044337029199999996
2001,Global,Behavioral risks,0.2432942114
2001,Global,Dietary risks,0.113743876
2001,Global,Metabolic risks,0.002798236
2002,China,Behavioral risks,0.2647280098
2002,China,Dietary risks,0.1354519412
2002,China,Metabolic risks,0.0430742732
2002,Global,Behavioral risks,0.2415457588
2002,Global,Dietary risks,0.1134030882
2002,Global,Metabolic risks,0.0020665070000000004
2003,China,Behavioral risks,0.2637512014
2003,China,Dietary risks,0.13546024239999999
2003,China,Metabolic risks,0.042313356600000004
2003,Global,Behavioral risks,0.240067105
2003,Global,Dietary risks,0.11307015720000001
2003,Global,Metabolic risks,0.0015011589999999997
2004,China,Behavioral risks,0.26321529039999997
2004,China,Dietary risks,0.1354673792
2004,China,Metabolic risks,0.0415010334
2004,Global,Behavioral risks,0.2384569652
2004,Global,Dietary risks,0.112627419
2004,Global,Metabolic risks,0.0010364234000000004
2005,China,Behavioral risks,0.2631849202
2005,China,Dietary risks,0.1354745722
2005,China,Metabolic risks,0.0407395622
2005,Global,Behavioral risks,0.23698493639999998
2005,Global,Dietary risks,0.1124545572
2005,Global,Metabolic risks,5.963885999999998e-4
2006,China,Behavioral risks,0.263607472
2006,China,Dietary risks,0.135482115
2006,China,Metabolic risks,0.040010621600000004
2006,Global,Behavioral risks,0.2349744582
2006,Global,Dietary risks,0.11190971499999999
2006,Global,Metabolic risks,2.4162019999999956e-4
2007,China,Behavioral risks,0.2643771072
2007,China,Dietary risks,0.1354869256
2007,China,Metabolic risks,0.0393315374
2007,Global,Behavioral risks,0.2328253278
2007,Global,Dietary risks,0.1112109816
2007,Global,Metabolic risks,1.56319999999998e-5
2008,China,Behavioral risks,0.2652865274
2008,China,Dietary risks,0.1354887818
2008,China,Metabolic risks,0.0386678498
2008,Global,Behavioral risks,0.2311772494
2008,Global,Dietary risks,0.1109350538
2008,Global,Metabolic risks,-3.715966000000001e-4
2009,China,Behavioral risks,0.266374446
2009,China,Dietary risks,0.1354891926
2009,China,Metabolic risks,0.0380699262
2009,Global,Behavioral risks,0.2292008508
2009,Global,Dietary risks,0.1104400572
2009,Global,Metabolic risks,-7.604313999999997e-4
2010,China,Behavioral risks,0.2674594748
2010,China,Dietary risks,0.1354874004
2010,China,Metabolic risks,0.0377081096
2010,Global,Behavioral risks,0.227078955
2010,Global,Dietary risks,0.1098656832
2010,Global,Metabolic risks,-8.586656000000004e-4
