location_name,year,age_name,Risk_Factor,val
China,1990,25-29 years,High BMI,0
China,1990,25-29 years,High alcohol use,0.008707177
China,1990,25-29 years,High fasting plasma glucose,0.037119062
China,1990,25-29 years,Low physical activity,0.011168373
China,1990,25-29 years,Tobacco use,0.136495965
China,1990,30-34 years,High BMI,0
China,1990,30-34 years,High alcohol use,0.011251252
China,1990,30-34 years,High fasting plasma glucose,0.045145279
China,1990,30-34 years,Low physical activity,0.01110376
China,1990,30-34 years,Tobacco use,0.137370708
China,1990,35-39 years,High BMI,0
China,1990,35-39 years,High alcohol use,0.014355623
China,1990,35-39 years,High fasting plasma glucose,0.054268752
China,1990,35-39 years,Low physical activity,0.01096633
China,1990,35-39 years,Tobacco use,0.137975961
China,1990,40-44 years,High BMI,0
China,1990,40-44 years,High alcohol use,0.017381931
China,1990,40-44 years,High fasting plasma glucose,0.063398239
China,1990,40-44 years,Low physical activity,0.011178685
China,1990,40-44 years,Tobacco use,0.140296999
China,1990,45-49 years,High BMI,0
China,1990,45-49 years,High alcohol use,0.016798402
China,1990,45-49 years,High fasting plasma glucose,0.071014651
China,1990,45-49 years,Low physical activity,0.01205881
China,1990,45-49 years,Tobacco use,0.142031351
China,1991,25-29 years,High BMI,0
China,1991,25-29 years,High alcohol use,0.008668082
China,1991,25-29 years,High fasting plasma glucose,0.037078072
China,1991,25-29 years,Low physical activity,0.01104014
China,1991,25-29 years,Tobacco use,0.137896001
China,1991,30-34 years,High BMI,0
China,1991,30-34 years,High alcohol use,0.011389877
China,1991,30-34 years,High fasting plasma glucose,0.045277697
China,1991,30-34 years,Low physical activity,0.011019688
China,1991,30-34 years,Tobacco use,0.138874973
China,1991,35-39 years,High BMI,0
China,1991,35-39 years,High alcohol use,0.014408969
China,1991,35-39 years,High fasting plasma glucose,0.054455602
China,1991,35-39 years,Low physical activity,0.010911174
China,1991,35-39 years,Tobacco use,0.13945631
China,1991,40-44 years,High BMI,0
China,1991,40-44 years,High alcohol use,0.017398213
China,1991,40-44 years,High fasting plasma glucose,0.063598557
China,1991,40-44 years,Low physical activity,0.01115987
China,1991,40-44 years,Tobacco use,0.141832158
China,1991,45-49 years,High BMI,0
China,1991,45-49 years,High alcohol use,0.016723696
China,1991,45-49 years,High fasting plasma glucose,0.071398871
China,1991,45-49 years,Low physical activity,0.011973671
China,1991,45-49 years,Tobacco use,0.143574596
China,1992,25-29 years,High BMI,0
China,1992,25-29 years,High alcohol use,0.00861133
China,1992,25-29 years,High fasting plasma glucose,0.036955778
China,1992,25-29 years,Low physical activity,0.010904849
China,1992,25-29 years,Tobacco use,0.138975191
China,1992,30-34 years,High BMI,0
China,1992,30-34 years,High alcohol use,0.011478762
China,1992,30-34 years,High fasting plasma glucose,0.045254198
China,1992,30-34 years,Low physical activity,0.010952529
China,1992,30-34 years,Tobacco use,0.140055002
China,1992,35-39 years,High BMI,0
China,1992,35-39 years,High alcohol use,0.014416335
China,1992,35-39 years,High fasting plasma glucose,0.054523553
China,1992,35-39 years,Low physical activity,0.010833588
China,1992,35-39 years,Tobacco use,0.140625131
China,1992,40-44 years,High BMI,0
China,1992,40-44 years,High alcohol use,0.017347591
China,1992,40-44 years,High fasting plasma glucose,0.063764437
China,1992,40-44 years,Low physical activity,0.011107154
China,1992,40-44 years,Tobacco use,0.143038549
China,1992,45-49 years,High BMI,0
China,1992,45-49 years,High alcohol use,0.016582618
China,1992,45-49 years,High fasting plasma glucose,0.071489161
China,1992,45-49 years,Low physical activity,0.011884018
China,1992,45-49 years,Tobacco use,0.14475142
China,1993,25-29 years,High BMI,0
China,1993,25-29 years,High alcohol use,0.008528273
China,1993,25-29 years,High fasting plasma glucose,0.036750774
China,1993,25-29 years,Low physical activity,0.010803997
China,1993,25-29 years,Tobacco use,0.139583593
China,1993,30-34 years,High BMI,0
China,1993,30-34 years,High alcohol use,0.011488224
China,1993,30-34 years,High fasting plasma glucose,0.045135186
China,1993,30-34 years,Low physical activity,0.010919114
China,1993,30-34 years,Tobacco use,0.140771596
China,1993,35-39 years,High BMI,0
China,1993,35-39 years,High alcohol use,0.014395055
China,1993,35-39 years,High fasting plasma glucose,0.054511691
China,1993,35-39 years,Low physical activity,0.010799687
China,1993,35-39 years,Tobacco use,0.141304539
China,1993,40-44 years,High BMI,0
China,1993,40-44 years,High alcohol use,0.017256645
China,1993,40-44 years,High fasting plasma glucose,0.063808651
China,1993,40-44 years,Low physical activity,0.011058391
China,1993,40-44 years,Tobacco use,0.143741507
China,1993,45-49 years,High BMI,0
China,1993,45-49 years,High alcohol use,0.016385677
China,1993,45-49 years,High fasting plasma glucose,0.071648727
China,1993,45-49 years,Low physical activity,0.011831627
China,1993,45-49 years,Tobacco use,0.14543194
China,1994,25-29 years,High BMI,0
China,1994,25-29 years,High alcohol use,0.008433117
China,1994,25-29 years,High fasting plasma glucose,0.036493657
China,1994,25-29 years,Low physical activity,0.010710071
China,1994,25-29 years,Tobacco use,0.139634739
China,1994,30-34 years,High BMI,0
China,1994,30-34 years,High alcohol use,0.011460043
China,1994,30-34 years,High fasting plasma glucose,0.044893553
China,1994,30-34 years,Low physical activity,0.010853953
China,1994,30-34 years,Tobacco use,0.140912576
China,1994,35-39 years,High BMI,0
China,1994,35-39 years,High alcohol use,0.014344689
