location_name,age_name,Cases_2022,Population,GLOBOCAN_Rate,GBD_Rate
China,25-29 years,2675,38411810.15396138,6.964004011469711,6.060704468330001
China,30-34 years,10405,55121181.58572628,18.87659099581855,12.98784132638
China,35-39 years,18603,54714848.68513047,33.99991126185025,28.280852075850003
China,40-44 years,29963,44090053.54374973,67.95863826808076,53.21449415559999
China,45-49 years,49686,51683935.01442302,96.13432101509788,76.32642157921
Global,25-29 years,33777,289905906.7907104,11.651021662136873,9.54730669312
Global,30-34 years,76407,296792172.3468967,25.744277349300827,23.88934520672
Global,35-39 years,128734,282893030.4015742,45.506246589835975,43.39335145945
Global,40-44 years,183276,250755570.81120786,73.08950282025329,74.06614932087
Global,45-49 years,239314,234247617.0931329,102.16283220710535,99.93585845878002
