Category,Number,Title,Directory,File_stub
Main figure,Figure 1,Breast cancer burden and temporal trends,Main_Figures,Figure_1_Breast_cancer_burden_and_temporal_trends
Main figure,Figure 2,Decomposition and birth-cohort patterns,Main_Figures,Figure_2_Decomposition_and_birth_cohort_patterns
Main figure,Figure 3,GBD risk attribution and exploratory SHAP ranking,Main_Figures,Figure_3_GBD_risk_attribution_and_exploratory_SHAP_ranking
Main figure,Figure 4,MIR and mortality-related productivity loss,Main_Figures,Figure_4_MIR_and_mortality_related_productivity_loss
Main figure,Figure 5,Status-quo incidence projections,Main_Figures,Figure_5_Status_quo_incidence_projections
Main figure,Figure 6,GBD and GLOBOCAN external comparison,Main_Figures,Figure_6_GBD_and_GLOBOCAN_external_comparison
Main table,Table 1,Breast cancer burden and temporal trends,Main_Tables,Table_1_Breast_cancer_burden_and_temporal_trends
Main table,Table 2,Sequential decomposition pathway of increased incident cases in China,Main_Tables,Table_2_Sequential_decomposition_of_increased_cases
Supplementary figure,Figure S1,SHAP temporal stability,Supplementary_Figures,Supplementary_Figure_S1_SHAP_temporal_stability
Supplementary figure,Figure S2,SHAP structure and target sensitivity,Supplementary_Figures,Supplementary_Figure_S2_SHAP_structure_and_target_sensitivity
Supplementary figure,Figure S3,Age-specific PAF trends,Supplementary_Figures,Supplementary_Figure_S3_Age_specific_PAF_trends
Supplementary figure,Figure S4,Projection anchor sensitivity,Supplementary_Figures,Supplementary_Figure_S4_Projection_anchor_sensitivity
Supplementary figure,Figure S5,GLOBOCAN baseline sensitivity,Supplementary_Figures,Supplementary_Figure_S5_GLOBOCAN_baseline_sensitivity
Supplementary figure,Figure S6,HCA productivity-loss sensitivity,Supplementary_Figures,Supplementary_Figure_S6_HCA_productivity_loss_sensitivity
Supplementary table,Table S1,GBD and GLOBOCAN 2022 external comparison,Supplementary_Tables,Supplementary_Table_S1_GBD_vs_GLOBOCAN_2022
Supplementary table,Table S2,Sequential decomposition results,Supplementary_Tables,Supplementary_Table_S2_Decomposition_results
Supplementary table,Table S3,PAF and exploratory SHAP ranking in 2023,Supplementary_Tables,Supplementary_Table_S3_PAF_and_SHAP_ranking_2023
Supplementary table,Table S4,Mortality-related productivity losses in selected years,Supplementary_Tables,Supplementary_Table_S4_Productivity_losses_selected_years
Supplementary table,Table S5,BAPC projections in selected years with 95% uncertainty intervals,Supplementary_Tables,Supplementary_Table_S5_BAPC_selected_years_95UI
Supplementary table,Table S6,SHAP feature status and importance,Supplementary_Tables,Supplementary_Table_S6_SHAP_feature_status_and_importance
Supplementary table,Table S7,PAF feature completeness,Supplementary_Tables,Supplementary_Table_S7_PAF_feature_completeness
Supplementary table,Table S8,High-BMI source validation by age,Supplementary_Tables,Supplementary_Table_S8_High_BMI_source_validation_by_age
Supplementary table,Table S9,Temporal SHAP bootstrap summary,Supplementary_Tables,Supplementary_Table_S9_SHAP_temporal_bootstrap_summary
Supplementary table,Table S10,SHAP structure-sensitivity summary,Supplementary_Tables,Supplementary_Table_S10_SHAP_structure_sensitivity_summary
Supplementary table,Table S11,Anchored versus unanchored projection,Supplementary_Tables,Supplementary_Table_S11_Anchored_vs_unanchored_projection
Supplementary table,Table S12,GLOBOCAN-based baseline-scaled projection sensitivity,Supplementary_Tables,Supplementary_Table_S12_GLOBOCAN_baseline_scaled_projection
Supplementary table,Table S13,HCA sensitivity scenarios in 2023,Supplementary_Tables,Supplementary_Table_S13_HCA_sensitivity_scenarios_2023
Supplementary table,Table S14,"Burden counts, rates, and 95% uncertainty intervals",Supplementary_Tables,Supplementary_Table_S14_Burden_counts_rates_and_95UI
Supplementary table,Table S15,Age-specific PAFs in selected years,Supplementary_Tables,Supplementary_Table_S15_Age_specific_PAF_selected_years
Supplementary table,Table S16,Mortality-to-incidence ratios in selected years,Supplementary_Tables,Supplementary_Table_S16_MIR_selected_years
Supplementary table,Table S17,Data provenance,Supplementary_Tables,Supplementary_Table_S17_Data_provenance
Supplementary workbook,Tables S1-S17,Consolidated supplementary tables workbook,Supplementary_Tables,Supplementary_Tables_S1_to_S17
