Location,Age group,Year,Baseline-scaling factor,"Main GBD-based projection per 100,000 (95% UI)","Case-estimate-based baseline-scaled sensitivity per 100,000 (95% UI)",Relative change after baseline scaling (%)
China,25-29 years,2023,1.149042004582119,5.99 (5.8 to 6.18),6.88 (6.66 to 7.1),14.904200458211902
China,25-29 years,2030,1.149042004582119,6.76 (4.36 to 9.93),7.77 (5.01 to 11.41),14.904200458211907
China,25-29 years,2040,1.149042004582119,9.79 (1.86 to 30.39),11.24 (2.14 to 34.92),14.904200458211902
China,25-29 years,2050,1.149042004582119,22.94 (0.57 to 129.97),26.36 (0.65 to 149.34),14.9042004582119
China,30-34 years,2023,1.453404805421955,13.4 (13.2 to 13.6),19.47 (19.19 to 19.76),45.34048054219549
China,30-34 years,2030,1.453404805421955,15.25 (10.51 to 21.15),22.16 (15.28 to 30.75),45.34048054219551
China,30-34 years,2040,1.453404805421955,21.35 (4.71 to 61.6),31.03 (6.84 to 89.53),45.34048054219551
China,30-34 years,2050,1.453404805421955,47.02 (1.49 to 254.42),68.34 (2.16 to 369.78),45.34048054219551
China,35-39 years,2023,1.202223722632599,27.24 (26.96 to 27.53),32.75 (32.41 to 33.1),20.222372263259878
China,35-39 years,2030,1.202223722632599,29.98 (20.8 to 41.36),36.05 (25.01 to 49.73),20.22237226325988
China,35-39 years,2040,1.202223722632599,41.41 (9.84 to 114.86),49.79 (11.83 to 138.09),20.22237226325988
China,35-39 years,2050,1.202223722632599,86.95 (3.24 to 454.35),104.54 (3.9 to 546.23),20.22237226325989
China,40-44 years,2023,1.277070079241356,52.14 (51.66 to 52.62),66.59 (65.98 to 67.2),27.707007924135613
China,40-44 years,2030,1.277070079241356,56.55 (39.25 to 78.01),72.22 (50.13 to 99.62),27.7070079241356
China,40-44 years,2040,1.277070079241356,78.78 (19.18 to 215.64),100.61 (24.49 to 275.38),27.707007924135613
China,40-44 years,2050,1.277070079241356,160.01 (6.58 to 817.62),204.35 (8.4 to 1044.15),27.707007924135603
China,45-49 years,2023,1.2595156307089759,80.54 (79.91 to 81.17),101.44 (100.65 to 102.23),25.95156307089759
China,45-49 years,2030,1.2595156307089759,99.58 (69.13 to 137.36),125.43 (87.07 to 173.01),25.95156307089759
China,45-49 years,2040,1.2595156307089759,132.28 (32.27 to 361.71),166.61 (40.64 to 455.57),25.951563070897596
China,45-49 years,2050,1.2595156307089759,265.01 (11.43 to 1338.86),333.79 (14.4 to 1686.32),25.95156307089758
China,Overall ASIR (25-49y),2023,1.2675696934631338,32.87 (32.54 to 33.21),41.67 (41.24 to 42.1),26.75696934631337
China,Overall ASIR (25-49y),2030,1.2675522544658775,38.01 (26.29 to 52.59),48.17 (33.33 to 66.65),26.755225446587744
China,Overall ASIR (25-49y),2040,1.2677006626776717,51.9 (12.37 to 143.82),65.8 (15.68 to 182.34),26.770066267767163
China,Overall ASIR (25-49y),2050,1.2679827259039056,106.87 (4.23 to 551.55),135.51 (5.37 to 699.46),26.798272590390553
Global,25-29 years,2023,1.220346432416679,10.15 (10.04 to 10.26),12.39 (12.26 to 12.52),22.034643241667908
Global,25-29 years,2030,1.220346432416679,16.21 (12.51 to 20.7),19.78 (15.26 to 25.26),22.034643241667908
Global,25-29 years,2040,1.220346432416679,34.21 (13.04 to 74.09),41.75 (15.91 to 90.42),22.034643241667904
Global,25-29 years,2050,1.220346432416679,87.05 (11.03 to 327.14),106.23 (13.46 to 399.23),22.0346432416679
Global,30-34 years,2023,1.0776468390627567,25.48 (25.33 to 25.63),27.46 (27.29 to 27.62),7.764683906275671
Global,30-34 years,2030,1.0776468390627567,36.95 (32.37 to 41.89),39.82 (34.88 to 45.15),7.764683906275664
Global,30-34 years,2040,1.0776468390627567,74.82 (38.09 to 132.78),80.63 (41.04 to 143.09),7.764683906275673
Global,30-34 years,2050,1.0776468390627567,175.31 (34.82 to 542.19),188.92 (37.53 to 584.29),7.764683906275677
Global,35-39 years,2023,1.0486916787784972,44.92 (44.73 to 45.12),47.11 (46.91 to 47.32),4.86916787784972
Global,35-39 years,2030,1.0486916787784972,61.17 (54.02 to 68.85),64.15 (56.65 to 72.21),4.869167877849724
Global,35-39 years,2040,1.0486916787784972,119.44 (72.05 to 185.86),125.25 (75.56 to 194.91),4.869167877849728
Global,35-39 years,2050,1.0486916787784972,263.16 (73.11 to 683.46),275.97 (76.67 to 716.74),4.869167877849721
Global,40-44 years,2023,0.986813861533618,76.47 (76.19 to 76.75),75.46 (75.19 to 75.74),-1.3186138466381954
Global,40-44 years,2030,0.986813861533618,103.28 (91.23 to 116.22),101.92 (90.03 to 114.69),-1.3186138466381927
Global,40-44 years,2040,0.986813861533618,182.4 (116.23 to 271.39),179.99 (114.7 to 267.81),-1.3186138466381956
Global,40-44 years,2050,0.986813861533618,385.62 (133.35 to 879.78),380.53 (131.6 to 868.17),-1.3186138466381991
Global,45-49 years,2023,1.022284030804057,103.65 (103.31 to 104),105.96 (105.61 to 106.32),2.2284030804057036
Global,45-49 years,2030,1.022284030804057,143.09 (126.4 to 161),146.28 (129.22 to 164.59),2.228403080405703
Global,45-49 years,2040,1.022284030804057,227.16 (145.09 to 337.66),232.22 (148.32 to 345.18),2.2284030804057027
Global,45-49 years,2050,1.022284030804057,463.12 (178.75 to 985.14),473.44 (182.73 to 1007.09),2.228403080405708
Global,Overall ASIR (25-49y),2023,1.032745681524587,48.36 (48.15 to 48.56),49.94 (49.72 to 50.16),3.274568152458697
Global,Overall ASIR (25-49y),2030,1.0346746558132078,67.06 (58.75 to 76.1),69.38 (60.71 to 78.84),3.467465581320783
Global,Overall ASIR (25-49y),2040,1.03812673666095,119.78 (71.48 to 189.8),124.35 (73.74 to 198.22),3.812673666094991
Global,Overall ASIR (25-49y),2050,1.041341407063894,259.61 (79.32 to 657.4),270.34 (81.53 to 691.36),4.134140706389389
