Location,Age group,"GLOBOCAN case estimate, 2022",Matched population denominator,"Rate derived from GLOBOCAN case estimates, per 100,000","GBD incidence rate, per 100,000",Absolute rate difference,Relative rate difference (%)
China,25-29 years,2675,38411810.15,6.96,6.06,-0.9,-12.97
China,30-34 years,10405,55121181.59,18.88,12.99,-5.89,-31.2
China,35-39 years,18603,54714848.69,34,28.28,-5.72,-16.82
China,40-44 years,29963,44090053.54,67.96,53.21,-14.74,-21.7
China,45-49 years,49686,51683935.01,96.13,76.33,-19.81,-20.6
Global,25-29 years,33777,289905906.79,11.65,9.55,-2.1,-18.06
Global,30-34 years,76407,296792172.35,25.74,23.89,-1.85,-7.21
Global,35-39 years,128734,282893030.4,45.51,43.39,-2.11,-4.64
Global,40-44 years,183276,250755570.81,73.09,74.07,0.98,1.34
Global,45-49 years,239314,234247617.09,102.16,99.94,-2.23,-2.18
