Location,Age group,Year,"Projected incidence rate per 100,000, 95% UI"
China,25-29 years,2023,5.99 (5.8 to 6.18)
China,25-29 years,2030,6.76 (4.36 to 9.93)
China,25-29 years,2040,9.79 (1.86 to 30.39)
China,25-29 years,2050,22.94 (0.57 to 129.97)
China,30-34 years,2023,13.4 (13.2 to 13.6)
China,30-34 years,2030,15.25 (10.51 to 21.15)
China,30-34 years,2040,21.35 (4.71 to 61.6)
China,30-34 years,2050,47.02 (1.49 to 254.42)
China,35-39 years,2023,27.24 (26.96 to 27.53)
China,35-39 years,2030,29.98 (20.8 to 41.36)
China,35-39 years,2040,41.41 (9.84 to 114.86)
China,35-39 years,2050,86.95 (3.24 to 454.35)
China,40-44 years,2023,52.14 (51.66 to 52.62)
China,40-44 years,2030,56.55 (39.25 to 78.01)
China,40-44 years,2040,78.78 (19.18 to 215.64)
China,40-44 years,2050,160.01 (6.58 to 817.62)
China,45-49 years,2023,80.54 (79.91 to 81.17)
China,45-49 years,2030,99.58 (69.13 to 137.36)
China,45-49 years,2040,132.28 (32.27 to 361.71)
China,45-49 years,2050,265.01 (11.43 to 1338.86)
China,Overall ASIR (25-49y),2023,32.87 (32.54 to 33.21)
China,Overall ASIR (25-49y),2030,38.01 (26.29 to 52.59)
China,Overall ASIR (25-49y),2040,51.9 (12.37 to 143.82)
China,Overall ASIR (25-49y),2050,106.87 (4.23 to 551.55)
Global,25-29 years,2023,10.15 (10.04 to 10.26)
Global,25-29 years,2030,16.21 (12.51 to 20.7)
Global,25-29 years,2040,34.21 (13.04 to 74.09)
Global,25-29 years,2050,87.05 (11.03 to 327.14)
Global,30-34 years,2023,25.48 (25.33 to 25.63)
Global,30-34 years,2030,36.95 (32.37 to 41.89)
Global,30-34 years,2040,74.82 (38.09 to 132.78)
Global,30-34 years,2050,175.31 (34.82 to 542.19)
Global,35-39 years,2023,44.92 (44.73 to 45.12)
Global,35-39 years,2030,61.17 (54.02 to 68.85)
Global,35-39 years,2040,119.44 (72.05 to 185.86)
Global,35-39 years,2050,263.16 (73.11 to 683.46)
Global,40-44 years,2023,76.47 (76.19 to 76.75)
Global,40-44 years,2030,103.28 (91.23 to 116.22)
Global,40-44 years,2040,182.4 (116.23 to 271.39)
Global,40-44 years,2050,385.62 (133.35 to 879.78)
Global,45-49 years,2023,103.65 (103.31 to 104)
Global,45-49 years,2030,143.09 (126.4 to 161)
Global,45-49 years,2040,227.16 (145.09 to 337.66)
Global,45-49 years,2050,463.12 (178.75 to 985.14)
Global,Overall ASIR (25-49y),2023,48.36 (48.15 to 48.56)
Global,Overall ASIR (25-49y),2030,67.06 (58.75 to 76.1)
Global,Overall ASIR (25-49y),2040,119.78 (71.48 to 189.8)
Global,Overall ASIR (25-49y),2050,259.61 (79.32 to 657.4)
