Analysis_type,Analysis_ID,Feature,Mean_abs_SHAP,Normalized_importance,Rank,Risk_Factor,Bootstrap_ID
Grouped calendar-block bootstrap,Bootstrap 1,High_alcohol_use,7.260684367291191,0.061432622818381355,3,High alcohol use,1
Grouped calendar-block bootstrap,Bootstrap 1,High_fasting_plasma_glucose,92.817649933169875,0.7853297830876916,1,High fasting plasma glucose,1
Grouped calendar-block bootstrap,Bootstrap 1,Low_physical_activity,13.11720898573232,0.11098465534193336,2,Low physical activity,1
Grouped calendar-block bootstrap,Bootstrap 1,Tobacco_use,4.993849160171607,0.0422529387519937,4,Tobacco use,1
Grouped calendar-block bootstrap,Bootstrap 2,High_alcohol_use,11.616966629992513,0.09916512127333446,3,High alcohol use,2
Grouped calendar-block bootstrap,Bootstrap 2,High_fasting_plasma_glucose,86.80549328257055,0.7409918219385705,1,High fasting plasma glucose,2
Grouped calendar-block bootstrap,Bootstrap 2,Low_physical_activity,13.552993199053933,0.11569149305559523,2,Low physical activity,2
Grouped calendar-block bootstrap,Bootstrap 2,Tobacco_use,5.172254477748099,0.04415156373249977,4,Tobacco use,2
Grouped calendar-block bootstrap,Bootstrap 3,High_alcohol_use,7.923798824233168,0.06814229693103233,3,High alcohol use,3
Grouped calendar-block bootstrap,Bootstrap 3,High_fasting_plasma_glucose,93.72283145680147,0.8059882831470699,1,High fasting plasma glucose,3
Grouped calendar-block bootstrap,Bootstrap 3,Low_physical_activity,9.911234106408322,0.08523364517614575,2,Low physical activity,3
Grouped calendar-block bootstrap,Bootstrap 3,Tobacco_use,4.725254631173962,0.040635774745751765,4,Tobacco use,3
Grouped calendar-block bootstrap,Bootstrap 4,High_alcohol_use,7.351564572444733,0.0628907921811378,3,High alcohol use,4
Grouped calendar-block bootstrap,Bootstrap 4,High_fasting_plasma_glucose,94.53810500581474,0.8087497914939896,1,High fasting plasma glucose,4
Grouped calendar-block bootstrap,Bootstrap 4,Low_physical_activity,10.033707000665805,0.08583584835131972,2,Low physical activity,4
Grouped calendar-block bootstrap,Bootstrap 4,Tobacco_use,4.97075557432836,0.042523567973552924,4,Tobacco use,4
Grouped calendar-block bootstrap,Bootstrap 5,High_alcohol_use,8.077357493647758,0.07001053170846994,3,High alcohol use,5
Grouped calendar-block bootstrap,Bootstrap 5,High_fasting_plasma_glucose,92.1000895135543,0.7982779321470501,1,High fasting plasma glucose,5
Grouped calendar-block bootstrap,Bootstrap 5,Low_physical_activity,10.109992953609018,0.0876284085244077,2,Low physical activity,5
Grouped calendar-block bootstrap,Bootstrap 5,Tobacco_use,5.086023095898631,0.044083127620072306,4,Tobacco use,5
Grouped calendar-block bootstrap,Bootstrap 6,High_alcohol_use,18.136024042043616,0.1659137767411806,2,High alcohol use,6
Grouped calendar-block bootstrap,Bootstrap 6,High_fasting_plasma_glucose,77.13537756730528,0.7056575235498236,1,High fasting plasma glucose,6
Grouped calendar-block bootstrap,Bootstrap 6,Low_physical_activity,9.017982226741665,0.08249920083668762,3,Low physical activity,6
Grouped calendar-block bootstrap,Bootstrap 6,Tobacco_use,5.020550506101811,0.045929498872308225,4,Tobacco use,6
Grouped calendar-block bootstrap,Bootstrap 7,High_alcohol_use,9.956817476495225,0.08528992332580299,3,High alcohol use,7
Grouped calendar-block bootstrap,Bootstrap 7,High_fasting_plasma_glucose,86.27068902999163,0.7389932044051272,1,High fasting plasma glucose,7
Grouped calendar-block bootstrap,Bootstrap 7,Low_physical_activity,12.703776249393602,0.10882032384511764,2,Low physical activity,7
Grouped calendar-block bootstrap,Bootstrap 7,Tobacco_use,7.809559400357744,0.06689654842395217,4,Tobacco use,7
Grouped calendar-block bootstrap,Bootstrap 8,High_alcohol_use,12.278068748116493,0.11059292327340323,2,High alcohol use,8
