Bootstrap_ID,Draw_order,Time_block,Block_start,Block_end,N_years,N_year_age_rows,N_training_rows_in_replicate,N_unique_years_in_replicate
1,1,5,2010,2014,5,25,175,20
1,2,2,1995,1999,5,25,175,20
1,3,2,1995,1999,5,25,175,20
1,4,3,2000,2004,5,25,175,20
1,5,4,2005,2009,5,25,175,20
1,6,4,2005,2009,5,25,175,20
1,7,5,2010,2014,5,25,175,20
2,1,4,2005,2009,5,25,170,24
2,2,4,2005,2009,5,25,170,24
2,3,1,1990,1994,5,25,170,24
2,4,3,2000,2004,5,25,170,24
2,5,7,2020,2023,4,20,170,24
2,6,2,1995,1999,5,25,170,24
2,7,4,2005,2009,5,25,170,24
3,1,5,2010,2014,5,25,170,29
3,2,4,2005,2009,5,25,170,29
3,3,4,2005,2009,5,25,170,29
3,4,7,2020,2023,4,20,170,29
3,5,6,2015,2019,5,25,170,29
3,6,2,1995,1999,5,25,170,29
3,7,3,2000,2004,5,25,170,29
4,1,7,2020,2023,4,20,170,29
4,2,5,2010,2014,5,25,170,29
4,3,6,2015,2019,5,25,170,29
4,4,4,2005,2009,5,25,170,29
4,5,2,1995,1999,5,25,170,29
4,6,3,2000,2004,5,25,170,29
4,7,6,2015,2019,5,25,170,29
5,1,7,2020,2023,4,20,165,24
5,2,4,2005,2009,5,25,165,24
5,3,3,2000,2004,5,25,165,24
5,4,5,2010,2014,5,25,165,24
5,5,3,2000,2004,5,25,165,24
5,6,7,2020,2023,4,20,165,24
5,7,2,1995,1999,5,25,165,24
6,1,1,1990,1994,5,25,170,29
6,2,2,1995,1999,5,25,170,29
6,3,1,1990,1994,5,25,170,29
6,4,4,2005,2009,5,25,170,29
6,5,5,2010,2014,5,25,170,29
6,6,7,2020,2023,4,20,170,29
6,7,3,2000,2004,5,25,170,29
7,1,3,2000,2004,5,25,170,24
7,2,1,1990,1994,5,25,170,24
7,3,4,2005,2009,5,25,170,24
7,4,7,2020,2023,4,20,170,24
7,5,4,2005,2009,5,25,170,24
7,6,6,2015,2019,5,25,170,24
7,7,4,2005,2009,5,25,170,24
8,1,3,2000,2004,5,25,170,29
8,2,1,1990,1994,5,25,170,29
8,3,6,2015,2019,5,25,170,29
8,4,2,1995,1999,5,25,170,29
8,5,3,2000,2004,5,25,170,29
8,6,7,2020,2023,4,20,170,29
8,7,5,2010,2014,5,25,170,29
9,1,7,2020,2023,4,20,170,24
9,2,3,2000,2004,5,25,170,24
9,3,1,1990,1994,5,25,170,24
9,4,1,1990,1994,5,25,170,24
9,5,4,2005,2009,5,25,170,24
9,6,5,2010,2014,5,25,170,24
9,7,1,1990,1994,5,25,170,24
10,1,4,2005,2009,5,25,170,19
10,2,4,2005,2009,5,25,170,19
10,3,4,2005,2009,5,25,170,19
10,4,2,1995,1999,5,25,170,19
10,5,5,2010,2014,5,25,170,19
10,6,4,2005,2009,5,25,170,19
10,7,7,2020,2023,4,20,170,19
11,1,7,2020,2023,4,20,165,24
11,2,4,2005,2009,5,25,165,24
11,3,6,2015,2019,5,25,165,24
11,4,7,2020,2023,4,20,165,24
11,5,1,1990,1994,5,25,165,24
11,6,3,2000,2004,5,25,165,24
11,7,3,2000,2004,5,25,165,24
12,1,4,2005,2009,5,25,170,24
12,2,7,2020,2023,4,20,170,24
12,3,6,2015,2019,5,25,170,24
12,4,6,2015,2019,5,25,170,24
12,5,1,1990,1994,5,25,170,24
12,6,6,2015,2019,5,25,170,24
12,7,2,1995,1999,5,25,170,24
13,1,6,2015,2019,5,25,175,25
13,2,4,2005,2009,5,25,175,25
13,3,5,2010,2014,5,25,175,25
13,4,3,2000,2004,5,25,175,25
13,5,2,1995,1999,5,25,175,25
13,6,2,1995,1999,5,25,175,25
13,7,5,2010,2014,5,25,175,25
14,1,7,2020,2023,4,20,165,29
14,2,7,2020,2023,4,20,165,29
14,3,4,2005,2009,5,25,165,29
14,4,5,2010,2014,5,25,165,29
14,5,6,2015,2019,5,25,165,29
14,6,2,1995,1999,5,25,165,29
14,7,1,1990,1994,5,25,165,29
15,1,3,2000,2004,5,25,175,25
15,2,5,2010,2014,5,25,175,25
15,3,2,1995,1999,5,25,175,25
15,4,6,2015,2019,5,25,175,25
15,5,6,2015,2019,5,25,175,25
15,6,3,2000,2004,5,25,175,25
15,7,1,1990,1994,5,25,175,25
16,1,6,2015,2019,5,25,175,15
16,2,4,2005,2009,5,25,175,15
16,3,1,1990,1994,5,25,175,15
16,4,4,2005,2009,5,25,175,15
16,5,1,1990,1994,5,25,175,15
16,6,6,2015,2019,5,25,175,15
16,7,1,1990,1994,5,25,175,15
17,1,1,1990,1994,5,25,170,24
17,2,4,2005,2009,5,25,170,24
17,3,7,2020,2023,4,20,170,24
17,4,3,2000,2004,5,25,170,24
17,5,3,2000,2004,5,25,170,24
17,6,4,2005,2009,5,25,170,24
17,7,6,2015,2019,5,25,170,24
18,1,2,1995,1999,5,25,175,25
18,2,3,2000,2004,5,25,175,25
18,3,3,2000,2004,5,25,175,25
18,4,6,2015,2019,5,25,175,25
18,5,3,2000,2004,5,25,175,25
18,6,4,2005,2009,5,25,175,25
18,7,1,1990,1994,5,25,175,25
19,1,5,2010,2014,5,25,175,20
19,2,3,2000,2004,5,25,175,20
19,3,2,1995,1999,5,25,175,20
19,4,2,1995,1999,5,25,175,20
19,5,6,2015,2019,5,25,175,20
19,6,6,2015,2019,5,25,175,20
19,7,2,1995,1999,5,25,175,20
20,1,4,2005,2009,5,25,175,25
20,2,3,2000,2004,5,25,175,25
20,3,2,1995,1999,5,25,175,25
20,4,6,2015,2019,5,25,175,25
20,5,6,2015,2019,5,25,175,25
20,6,5,2010,2014,5,25,175,25
20,7,3,2000,2004,5,25,175,25
21,1,3,2000,2004,5,25,160,14
21,2,3,2000,2004,5,25,160,14
21,3,4,2005,2009,5,25,160,14
21,4,7,2020,2023,4,20,160,14
21,5,7,2020,2023,4,20,160,14
21,6,4,2005,2009,5,25,160,14
21,7,7,2020,2023,4,20,160,14
22,1,6,2015,2019,5,25,170,24
22,2,5,2010,2014,5,25,170,24
22,3,2,1995,1999,5,25,170,24
22,4,2,1995,1999,5,25,170,24
22,5,1,1990,1994,5,25,170,24
22,6,6,2015,2019,5,25,170,24
22,7,7,2020,2023,4,20,170,24
23,1,3,2000,2004,5,25,175,25
23,2,1,1990,1994,5,25,175,25
23,3,3,2000,2004,5,25,175,25
23,4,1,1990,1994,5,25,175,25
23,5,4,2005,2009,5,25,175,25
23,6,2,1995,1999,5,25,175,25
23,7,6,2015,2019,5,25,175,25
24,1,6,2015,2019,5,25,170,19
24,2,3,2000,2004,5,25,170,19
24,3,5,2010,2014,5,25,170,19
24,4,6,2015,2019,5,25,170,19
24,5,5,2010,2014,5,25,170,19
24,6,6,2015,2019,5,25,170,19
24,7,7,2020,2023,4,20,170,19
25,1,7,2020,2023,4,20,165,24
25,2,2,1995,1999,5,25,165,24
25,3,3,2000,2004,5,25,165,24
25,4,7,2020,2023,4,20,165,24
25,5,2,1995,1999,5,25,165,24
25,6,1,1990,1994,5,25,165,24
25,7,4,2005,2009,5,25,165,24
26,1,6,2015,2019,5,25,175,20
26,2,2,1995,1999,5,25,175,20
26,3,4,2005,2009,5,25,175,20
26,4,1,1990,1994,5,25,175,20
